cluster index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score
226,226,5,Organic compounds,1,Lipids and lipid-like molecules,0.394444444,Steroids and steroid derivatives,0.205555556,,0.125,Cardenolide glycosides and derivatives,0.091666667,Aromatic heteropolycyclic compounds,0.530555556
234,226,5,Organic compounds,1,Lipids and lipid-like molecules,0.394444444,Steroids and steroid derivatives,0.205555556,,0.125,Cardenolide glycosides and derivatives,0.091666667,Aromatic heteropolycyclic compounds,0.530555556
1348,226,5,Organic compounds,1,Lipids and lipid-like molecules,0.394444444,Steroids and steroid derivatives,0.205555556,,0.125,Cardenolide glycosides and derivatives,0.091666667,Aromatic heteropolycyclic compounds,0.530555556
209,S91,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
210,S92,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
211,S93,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
212,166,4,Organic compounds,1,Lipids and lipid-like molecules,0.3,Prenol lipids,0.24375,,0.255555556,C-glycosyl compounds,0.130555556,Aromatic heteropolycyclic compounds,0.313888889
655,166,4,Organic compounds,1,Lipids and lipid-like molecules,0.3,Prenol lipids,0.24375,,0.255555556,C-glycosyl compounds,0.130555556,Aromatic heteropolycyclic compounds,0.313888889
706,166,4,Organic compounds,1,Lipids and lipid-like molecules,0.3,Prenol lipids,0.24375,,0.255555556,C-glycosyl compounds,0.130555556,Aromatic heteropolycyclic compounds,0.313888889
1613,166,4,Organic compounds,1,Lipids and lipid-like molecules,0.3,Prenol lipids,0.24375,,0.255555556,C-glycosyl compounds,0.130555556,Aromatic heteropolycyclic compounds,0.313888889
213,S94,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
214,S95,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
215,S96,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
216,S97,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
217,103,2,Organic compounds,1,Organic nitrogen compounds,0.5,Organonitrogen compounds,0.5,Imines,0.5,Ketimines,0.5,Aliphatic heteromonocyclic compounds,0.6
1729,103,2,Organic compounds,1,Organic nitrogen compounds,0.5,Organonitrogen compounds,0.5,Imines,0.5,Ketimines,0.5,Aliphatic heteromonocyclic compounds,0.6
219,S98,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
220,S99,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
221,109,5,Organic compounds,0.8,Organoheterocyclic compounds,0.248571429,Benzene and substituted derivatives,0.18,"Amino acids, peptides, and analogues",0.177142857,Nitrobenzenes,0.1,Aliphatic acyclic compounds,0.262857143
913,109,5,Organic compounds,0.8,Organoheterocyclic compounds,0.248571429,Benzene and substituted derivatives,0.18,"Amino acids, peptides, and analogues",0.177142857,Nitrobenzenes,0.1,Aliphatic acyclic compounds,0.262857143
1596,109,5,Organic compounds,0.8,Organoheterocyclic compounds,0.248571429,Benzene and substituted derivatives,0.18,"Amino acids, peptides, and analogues",0.177142857,Nitrobenzenes,0.1,Aliphatic acyclic compounds,0.262857143
1665,109,5,Organic compounds,0.8,Organoheterocyclic compounds,0.248571429,Benzene and substituted derivatives,0.18,"Amino acids, peptides, and analogues",0.177142857,Nitrobenzenes,0.1,Aliphatic acyclic compounds,0.262857143
1940,109,5,Organic compounds,0.8,Organoheterocyclic compounds,0.248571429,Benzene and substituted derivatives,0.18,"Amino acids, peptides, and analogues",0.177142857,Nitrobenzenes,0.1,Aliphatic acyclic compounds,0.262857143
222,106,4,Organic compounds,1,Lipids and lipid-like molecules,0.916666667,Fatty Acyls,0.619444444,Eicosanoids,0.417857143,Other hydroxyeicosapolyenoic acids,0.208333333,Aliphatic acyclic compounds,0.553968254
298,106,4,Organic compounds,1,Lipids and lipid-like molecules,0.916666667,Fatty Acyls,0.619444444,Eicosanoids,0.417857143,Other hydroxyeicosapolyenoic acids,0.208333333,Aliphatic acyclic compounds,0.553968254
341,106,4,Organic compounds,1,Lipids and lipid-like molecules,0.916666667,Fatty Acyls,0.619444444,Eicosanoids,0.417857143,Other hydroxyeicosapolyenoic acids,0.208333333,Aliphatic acyclic compounds,0.553968254
840,106,4,Organic compounds,1,Lipids and lipid-like molecules,0.916666667,Fatty Acyls,0.619444444,Eicosanoids,0.417857143,Other hydroxyeicosapolyenoic acids,0.208333333,Aliphatic acyclic compounds,0.553968254
223,S100,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
224,S101,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
225,S102,1,Organic compounds,1,Lipids and lipid-like molecules,1,Fatty Acyls,1,Eicosanoids,1,Prostaglandins and related compounds,1,Aliphatic homopolycyclic compounds,1
227,S103,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
228,72,5,Organic compounds,1,Lipids and lipid-like molecules,0.933333333,Prenol lipids,0.455555556,Diterpenoids,0.344444444,Diterpenoids,0.177777778,Aliphatic homopolycyclic compounds,0.477777778
294,72,5,Organic compounds,1,Lipids and lipid-like molecules,0.933333333,Prenol lipids,0.455555556,Diterpenoids,0.344444444,Diterpenoids,0.177777778,Aliphatic homopolycyclic compounds,0.477777778
