"","OTU","Sample","Abundance","X","SampleCode","Sample_Type_Broad","RobCode","Fish_Number","Species","Gut_Section","Gut_SubSection","Culture_Media","Ranked_Gut_SubSection_Distance_from_Stomach","Kingdom","Phylum","Class","Order","Family"
"89","Otu00005","F5_GI_2",0.11702,22,"F5_GI_2","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_2","Fish_Gut",3,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"526","Otu00047","F7_GI_4",0.11666,41,"F7_GI_4","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"327","Otu00021","F5_GI_3",0.11622,23,"F5_GI_3","Fish_Gut",NA,"F5","Kyphosus vaigiensis","GI","GI_3","Fish_Gut",4,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
"364","Otu00025","F7_HG_1",0.11614,42,"F7_HG_1","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"9","Otu00002","F7_GI_3",0.1152,40,"F7_GI_3","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","GI","GI_3","Fish_Gut",4,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"502","Otu00047","F6_GI_4",0.11502,32,"F6_GI_4","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_4","Fish_Gut",5,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae"
"394","Otu00025","F4_HG_1",0.11424,16,"F4_HG_1","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_1","Fish_Gut",6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"259","Otu00017","F6_HG_3",0.11348,35,"F6_HG_3","Fish_Gut",NA,"F6","Kyphosus cinerascens","HG","HG_3","Fish_Gut",8,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"463","Otu00042","F6_GI_3",0.11306,31,"F6_GI_3","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_3","Fish_Gut",4,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"390","Otu00025","F4_HG_2",0.11112,17,"F4_HG_2","Fish_Gut",NA,"F4","Kyphosus vaigiensis","HG","HG_2","Fish_Gut",7,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"18","Otu00002","F7_GI_4",0.1104,41,"F7_GI_4","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"32","Otu00002","F6_GI_4",0.1096,32,"F6_GI_4","Fish_Gut",NA,"F6","Kyphosus cinerascens","GI","GI_4","Fish_Gut",5,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae"
"329","Otu00021","F7_GI_4",0.10956,41,"F7_GI_4","Fish_Gut",NA,"F7","Kyphosus hawaiiensis","GI","GI_4","Fish_Gut",5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae"
