"","OTU","Sample","Abundance","Species","Gut_Section","Species_Gut_Section","Kingdom","Phylum","Class","Order","Family"
"158","Otu00062","Kyphosus hawaiiensis_GI",0.00052,"Kyphosus hawaiiensis","GI","Kyphosus hawaiiensis_GI","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"126","Otu00042","Kyphosus hawaiiensis_ST",0.00051,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1"
"543","Otu01081","Kyphosus vaigiensis_HG",0.000504444444444445,"Kyphosus vaigiensis","HG","Kyphosus vaigiensis_HG","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae"
"616","Otu01684","Kyphosus hawaiiensis_ST",0.00049,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Flammeovirgaceae"
"91","Otu00024","Kyphosus cinerascens_ST",0.00048,"Kyphosus cinerascens","ST","Kyphosus cinerascens_ST","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"364","Otu00282","Kyphosus cinerascens_GI",0.00048,"Kyphosus cinerascens","GI","Kyphosus cinerascens_GI","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae"
"185","Otu00087","Kyphosus vaigiensis_GI",0.000478333333333333,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae"
"271","Otu00169","Kyphosus vaigiensis_ST",0.000473333333333333,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Eukaryota","Parabasalia","Gf10_symbiont_group","Gf10_symbiont_group_or","Gf10_symbiont_group_fa"
"395","Otu00352","Kyphosus vaigiensis_ST",0.000466666666666667,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"46","Otu00015","Kyphosus cinerascens_ST",0.00046,"Kyphosus cinerascens","ST","Kyphosus cinerascens_ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"592","Otu01497","Kyphosus vaigiensis_ST",0.000446666666666667,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"392","Otu00352","Kyphosus cinerascens_GI",0.000433333333333333,"Kyphosus cinerascens","GI","Kyphosus cinerascens_GI","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"570","Otu01270","Kyphosus hawaiiensis_ST",0.00043,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae"
"211","Otu00113","Kyphosus vaigiensis_ST",0.000426666666666667,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"242","Otu00141","Kyphosus hawaiiensis_GI",0.000426666666666667,"Kyphosus hawaiiensis","GI","Kyphosus hawaiiensis_GI","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified"
"396","Otu00352","Kyphosus vaigiensis_GI",0.000415,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"97","Otu00024","Kyphosus hawaiiensis_ST",0.00041,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"66","Otu00017","Kyphosus cinerascens_ST",4e-04,"Kyphosus cinerascens","ST","Kyphosus cinerascens_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae"
"195","Otu00088","Kyphosus hawaiiensis_HG",4e-04,"Kyphosus hawaiiensis","HG","Kyphosus hawaiiensis_HG","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae"
"594","Otu01497","Kyphosus hawaiiensis_ST",4e-04,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
