"","Species","Gut_SubSection","Gut_SubSection.padjust","Species.padjust","cluster.index","CF_componentindex","CF_NrNodes","CF_kingdom","CF_kingdom_score","CF_superclass","CF_superclass_score","CF_class","CF_class_score","CF_subclass","CF_subclass_score","CF_Dparent","CF_Dparent_score","CF_MFramework","CF_MFramework_score"
"390",0.146745160878696,0.00105635884163436,0.0110044114213551,0.547803593504631,390,"3",74,"Organic compounds",1,"Lipids and lipid-like molecules",0.826045201,"Prenol lipids",0.390973928,"Diterpenoids",0.1878003,"Diterpenoids",0.119417632,"Aliphatic homopolycyclic compounds",0.268458231
"395",0.0306938243509907,1.9366231267676e-06,6.64147813473831e-05,0.344124992242838,395,"52",20,"Organic compounds",1,"Organic acids and derivatives",0.501765873,"Carboxylic acids and derivatives",0.461488095,"Amino acids, peptides, and analogues",0.461488095,"Dipeptides",0.269186508,"Aromatic heteropolycyclic compounds",0.33827381
"401",0.0181787650867352,8.96207644553473e-05,0.00158330017204447,0.341066549744865,401,"S177",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"418",0.264668395141595,0.00588452267692245,0.0394330657545493,0.715072627652476,418,"S185",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"431",0.66879376180364,0.00379377870506808,0.0283560639109575,0.864538277453486,431,"56",2,"Organic compounds",1,"Organoheterocyclic compounds",0.708333333,"Azoles",0.1875,"Oxadiazoles",0.1875,"Phenyloxadiazoles",0.1875,"Aromatic heteropolycyclic compounds",0.631944444
"433",0.765715124617747,0.000683448521658582,0.00813164261483578,0.878942135819804,433,"S190",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"443",0.48088537990553,0.00157581277511655,0.0155711669134398,0.840769300162514,443,"153",2,"Organic compounds",1,"Benzenoids",0.314285714,"Benzene and substituted derivatives",0.242857143,"",0.214285714,"N-phenylureas",0.142857143,"Aromatic heteropolycyclic compounds",0.535714286
"459",0.240981342474192,0.000339249306303056,0.00482395964816297,0.678705906581904,459,"19",21,"Organic compounds",0.619047619,"Organoheterocyclic compounds",0.278741497,"Benzene and substituted derivatives",0.126870748,"",0.119047619,"Dipeptides",0.038548753,"Aromatic heteropolycyclic compounds",0.239172336
"512",0.0873622395216359,0.00104969261488523,0.0110044114213551,0.459173165410856,512,"S233",1,"Organic compounds",1,"Organic acids and derivatives",1,"Carboxylic acids and derivatives",1,"Amino acids, peptides, and analogues",1,"Dipeptides",1,"Aromatic heteropolycyclic compounds",1
"513",0.198026248935153,0.000871937621164779,0.00987596150462213,0.610842873699441,513,"S234",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"514",0.175738269929886,1.06770643048772e-07,1.24494569794868e-05,0.575592198702941,514,"5",100,"Organic compounds",0.93,"Organic acids and derivatives",0.288345599,"Carboxylic acids and derivatives",0.271099206,"Amino acids, peptides, and analogues",0.269849206,"Dipeptides",0.112630952,"Aromatic heteropolycyclic compounds",0.295015152
"516",0.189013221551383,0.000459572065083438,0.00597792963424007,0.599126834608093,516,"S235",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"518",0.397077031783541,4.8687705072147e-06,0.000141924660285309,0.840769300162514,518,"86",10,"Organic compounds",1,"Lipids and lipid-like molecules",0.656547619,"Glycerophospholipids",0.257142857,"Glycerophosphocholines",0.257142857,"Monoalkylglycerophosphocholines",0.216865079,"Aliphatic acyclic compounds",0.282142857
"525",0.286379664406272,4.63052012280281e-07,2.55220352514203e-05,0.74984150675803,525,"127",3,"Organic compounds",1,"Organoheterocyclic compounds",0.425,"Organooxygen compounds",0.15,"Cytisine and derivatives",0.141666667,"Cytisine and derivatives",0.141666667,"Aromatic heteropolycyclic compounds",0.733333333
