Tree#,Groups,WScore
1,F4_GI_4-F6_HG_3,0.733228
1,F4_HG_1-F6_HG_3,0.566959
1,F4_HG_2-F6_HG_3,0.588116
1,F4_HG_3-F6_HG_3,0.580177
1,F4_PC-F6_HG_3,0.70214
1,F4_STOM-F6_HG_3,0.872397
1,F5_GI_1-F6_HG_3,0.745495
1,F5_GI_2-F6_HG_3,0.74811
1,F5_GI_3-F6_HG_3,0.713082
1,F5_GI_4-F6_HG_3,0.619179
1,F5_HG_1-F6_HG_3,0.540922
1,F5_HG_2-F6_HG_3,0.532708
1,F5_HG_3-F6_HG_3,0.529938
1,F5_PC-F6_HG_3,0.599623
1,F5_STOM-F6_HG_3,0.658984
1,F6_GI_1-F6_HG_3,0.356036
1,F6_GI_3-F6_HG_3,0.632838
1,F6_GI_4-F6_HG_3,0.399711
1,F6_HG_1-F6_HG_3,0.223878
1,F6_HG_2-F6_HG_3,0.211925
1,BLANK2_1_A-F6_PC,0.611063
1,F1_GI-F6_PC,0.882406
1,F1_HG-F6_PC,0.582033
1,F1_PC-F6_PC,0.602317
1,F1_STOM-F6_PC,0.834279
1,F2_GI-F6_PC,0.85302
1,F2_HG-F6_PC,0.528778
1,F2_PC-F6_PC,0.570426
1,F3_GI-F6_PC,0.818615
1,F3_HG-F6_PC,0.237963
1,F3_PC-F6_PC,0.643798
1,F3_STOM-F6_PC,0.843235
1,F4_GI_1-F6_PC,0.804031
1,F4_GI_2-F6_PC,0.785661
1,F4_GI_3-F6_PC,0.771105
