"","F1_GI","F1_HG","F2_GI","F2_HG","F3_GI","F3_HG","F4_GI_1","F4_GI_2","F4_GI_3","F4_GI_4","F4_HG_1","F4_HG_2","F4_HG_3","F5_GI_1","F5_GI_2","F5_GI_3","F5_GI_4","F5_HG_1","F5_HG_2","F5_HG_3","F6_GI_1","F6_GI_3","F6_GI_4","F6_HG_1","F6_HG_2","F6_HG_3","F7_GI_2","F7_GI_3","F7_GI_4","F7_HG_1","F7_HG_2","F7_HG_3","F8_GI_1","F8_GI_2","F8_GI_3","F8_GI_4","F8_HG_1","F8_HG_2","F8_HG_3"
"Otu00085",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01058,0.03668,0.05508,0.0175,0.0038,0.00356,0.00208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00087",0,0.00374,0,0.01242,0,0.0094,6e-05,0,0,0,0.00812,0.00536,0.00948,0,4e-05,0.00032,0.00208,0.00538,0.0065,0.00492,0.00542,0,0.00162,0.00756,0.00306,0.0076,6e-05,0,1e-04,0.00594,0.0046,0.00542,0,0,0,0.00178,0.0116,0.01368,0.00774
"Otu00088",0,0,0,0,0,0,0.00022,7e-04,0.00066,9e-04,0.00064,0.00048,0.00064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01112,0.02534,0.00146,0.00076,3e-04,0.00014,0.02028,0.01638,0.07442,0.00914,0.01264,0.01326,0.00222
"Otu00089",0,0.0095,4e-05,0.00348,0,0.00106,4e-05,0,0,0,0.00818,0.00548,0.00698,0.00054,8e-05,0.00096,0.00312,0.00828,0.0091,0.0063,0.00062,0,0,4e-04,0.00022,0.00028,0,0,0.00026,0.00274,0.0024,0.00226,0,0,0,0.00548,0.02028,0.01828,0.01554
"Otu00090",0,0,0,0.00292,0,0,0,0,0,0,0.00156,0.00146,0.00194,0,0,0.00072,0.00246,0.00702,0.00668,0.00728,0,0,0,0,0,0,6e-05,0,0.00038,0.00952,0.00814,0.01,0,0,0,0,0.0016,0.00162,0.00238
"Otu00091",0,0.01026,1e-04,0.00334,0,0,0,0,0,0,0.00524,0.00468,0.00876,0.00126,0.00012,0.0013,0.0054,0.01336,0.0125,0.01788,0.00072,0,0,0,0,0,0.00028,0,2e-04,0.00696,0.00734,0.00826,0,0.00014,0,0.0024,0.0118,0.01292,0.0133
"Otu00092",0,0,0,0,0,0.00018,0.00596,0.00272,0.00078,7e-04,0,0,0,0.0539,0.02168,0.00384,0.00218,0,0,0,0.00802,0.00638,0.00078,0.00072,0.0017,0.00492,0,0.00138,0,0,0,0,0.0045,0.00318,0.00116,0.00096,0.00122,0.00258,0.00052
"Otu00094",0.00026,0.01538,0,0.0177,0,0.00052,0,0,0,0,0.0074,0.007,0.01792,0.00084,0,0.00186,0.00454,0.00836,0.01034,0.0081,0.00134,0,0.0055,0.00462,0.0014,0.00222,0,0,0.0038,0.00592,0.00808,0.0075,0,0,0,0.00316,0.00544,0.00472,0.00834
"Otu00095",0,0.00496,0,0.00738,0,0,0,0,0,0,0.0038,0.00392,0.00644,0.00042,6e-05,0.0016,0.00698,0.01746,0.01724,0.02094,0,0,0,0,0.00046,0,0.00016,0,0.00018,0.00428,0.00768,0.0094,0,0,0,0.00158,0.00628,0.00482,0.01218
"Otu00097",0,0.00412,0,0.0233,0,0.00096,0,0,0,0,0.01572,0.01222,0.02146,0,0,0,0.00136,0.0025,0.003,0.00232,0,0,0,0.00072,0,0,0,0,0,0.00182,0.0027,0.00294,0,0,0,0.00348,0.00862,0.0082,0.0116
"Otu00098",0,0.00952,0,0,0,0,0,0,0,0,0.00106,0.00102,0.00124,0.00186,0.00094,0.00358,0.00924,0.02486,0.02154,0.0337,0.00054,0,0,0,0,0,0.00054,0,0,0,0,0,0,0,0,0.00078,0.00314,0.00232,0.00716
"Otu00100",0,0,0,0,0,0,0.00432,0.01846,0.02564,0.01568,0.00458,0.00482,0.00078,0.00172,0.0064,0.0215,0.0042,0.00074,8e-04,0.00038,0,0,0,0,0,0,0,0.00044,0.00134,1e-04,0,0,0,0,0.01888,0.02368,0.00042,8e-04,0.00016
"Otu00103",0,0,0,0.00288,0,0.00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034,0,0.00234,0.00172,0.00216,0.0019,0,0,0.00022,0.00366,0.0063,0.00658,0,0,0,0,0,0,0
"Otu00104",0,0.01812,0,0.00654,0,0,0,0,0,0,0.00998,0.00774,0.01118,0.00082,0,0.00116,0.0027,0.00558,0.00546,0.0058,0.00036,0,0,0,0,0,2e-04,0,0.00016,0.00536,0.00392,0.00364,0,0,0,0.00306,0.0075,0.00682,0.00756
"Otu00105",0,0.01228,0,0.00302,0,0,0,0,0,0,0.0066,0.00478,0.00918,0,0,0.0013,0.00224,0.00592,0.006,0.00514,0,0,0,0,0,0,0,0,0,0.0015,0.0019,0.00194,0,0,0,0.00356,0.00874,0.0087,0.0093
"Otu00107",0,0,0.00128,0,0.00382,0,0.00822,0.01406,0.00592,0.00578,0.00154,0.00248,0.00082,0.002,0.01284,0.00536,0.00618,0.00372,0.0043,0.0038,0,0,0,0.00054,0,0,0.00086,0,0.00026,0,0,0,0.00658,0.0086,0.00468,0.0031,0.00176,0.00232,0.00192
"Otu00108",0,0,0,0.00504,0,0,0,0,0,0,0.00126,0.00144,0.00256,0.00062,0,0.00016,0.00054,0.00218,0.0023,0.003,0,0,0,0,0,0,0,4e-05,0.00094,0.01106,0.0195,0.01676,0,0,0,0.0011,0.00404,0.00316,0.0064
"Otu00109",0,0,2e-04,0.00406,0,0.00242,9e-04,0.00038,0.00116,0.00176,0.00118,0.00152,0.00016,0,0.00294,0.00184,0.00124,0.00098,0.00076,0.00054,0.01224,0.00548,0.0045,0.00212,0.00274,0.0045,0.01018,0.00126,0.00388,0.00044,0.00092,0.00026,0,0.00082,0.02954,0.0119,0.00186,0.00114,0.0011
"Otu00111",0,0.00092,0,0.01518,0,0.003,0,0,0,0,0.00092,7e-04,0.0016,0.00076,0,0.00084,0.00286,0.00938,0.00892,0.01348,0.00152,0,0.00162,0.0034,0.00222,0.00228,0.00014,0,6e-05,0.00656,0.00954,0.00956,0,0,0,0.00016,0.00104,0.00118,0.00116
"Otu00113",0,0.00614,0,0.00706,0,0,0,0,0,0,0.00168,0.00138,0.00166,0,0,0.00042,0.00178,0.00338,0.00274,0.0036,0,0,0,0,0,0,0,0,0.00034,0.00678,0.0065,0.00642,0,0,0,0.00116,0.00418,0.00302,0.00264
"Otu00114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044,0.00752,0.00914,0,0,4e-05,0,0,0,0
"Otu00115",0.00062,0,0,0,0.003,0.00012,0,0,0,0,0,0,0,3e-04,6e-05,0.00016,0.00056,0.00154,0.0021,0.00164,0,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0
"Otu00116",0,0,0,0,0,0,0,0,0.0013,0.002,0.00214,0.00276,7e-04,0.00076,0.01774,0.01068,0.01356,0.00542,0.00292,0.00302,0,0.00028,0.00034,0,0,0,0,0.00682,0.01014,0.00104,5e-04,0,0,0,0,0.0013,0,0,0
"Otu00117",0,0,0.00048,0,7e-04,0.00032,0.00012,2e-05,4e-05,0,0,0,0,0,0,0,0,0.00014,6e-05,0,0.17598,0.0127,0.00462,0.00066,0,0,0.00204,0,0,0,0,0,0.0016,0.00042,0,0,0,8e-05,8e-05
"Otu00118",0,0,0,5e-04,0,0,0.00116,0.0059,0.00248,0.00522,0.00088,0.0013,0.00058,0.00054,0.00272,0.00274,0.00132,0,0,0,0,0,0,0,0,0,0,0.02856,0.01894,0.00088,0.00062,0,0,0,0.012,0.01634,0.00094,0.00204,0.00102
"Otu00119",0,0.00038,0,0,0,0,0.00014,0.00244,0.00126,0.00124,3e-04,0.00034,0,0.00136,0.00992,0.03424,0.01642,0.00336,0.00172,0.00102,0,0,0,0,0,0,0,0,0,0.00016,1e-04,1e-04,0,0,0,0,0,0,0
"Otu00120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00224,0,0.04558,0.02772,0.00836,0.01616,6e-05,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00122",0,0.00036,0,0.00072,0,0,4e-04,0.00366,0.00374,0.00316,7e-04,0.00058,0,0.00156,0.00268,0.01524,0.00466,0,0,0,0,0.0011,8e-05,0,0,0,0.00018,0.02848,0.00858,0.00206,0.0018,0.00054,0,0,0.00956,0.00736,0.00064,0.00102,0.00026
"Otu00123",0,0,4e-05,0,0,0,0.00836,0.01822,0.01578,0.01464,0.0012,0.00154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079,0.00668,0,0,0
"Otu00124",0,0.00156,0,0.00576,0,0.00012,0,0,0,0,0.00176,0.0015,0.00222,0,0,2e-04,0.00064,0.00124,0.00122,0.00166,0,0,0,1e-04,0.00018,0,0,0,0.00076,0.00662,0.00774,0.00786,0,0,0,0.00212,0.00532,0.00552,0.00786
"Otu00125",0,0,0,0,0,0,0,1e-04,0.00022,0.00116,0.00094,9e-04,0.00018,0,0.00064,0.00064,0.00026,0,0.00012,0,0,0,0,0,0,0,0,0.0118,0.0469,7e-04,0,0,0,0,0.00136,0.02774,0.00092,0.00188,0.00036
"Otu00126",0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00336,0.001,0,0,0,0,0.01522,0.02964,0.0094,0.00516,0.0023,0,0,0,0,0,0,0
"Otu00127",0,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084,0.02528,0.02608,0.02656
"Otu00130",0,0.00482,0,0.0041,0,0,0,0,0,0,0.00382,0.003,0.00384,0,0,0.0013,0.00272,0.00742,0.00648,0.00902,0.0014,0,0.00078,5e-04,0.00066,0.00208,0,0,0.00016,0.0031,0.00474,0.00598,0,6e-05,0,0.00078,0.00566,0.00486,0.0046
"Otu00131",0,0,0,0,0,0,0.00042,0.00254,0.0063,0.00776,0.00924,0.00848,0.00126,0,0.00106,0.00102,0.00064,5e-04,0.00022,0.00024,0,0,0,0,0,0,0,0.0043,0.01776,0.002,0.0011,0.00034,0,0,5e-04,0.00354,0,0.00032,0
"Otu00132",0,0.0064,4e-05,0.01332,0,0,0,0,0,0,0.00286,0.00176,0.00194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00036,0.01758,0.0145,0.01344,0,0,0,0.00026,0.0037,0.00364,0.00218
"Otu00133",0,0,0,0,0,0,0.00278,0.0143,0.01192,0.0078,0,0,0,0.00254,0.01132,0.0174,0.00242,2e-04,8e-05,0.00024,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01496,0.00404,0,0,0
"Otu00134",0,0,0,0.00246,0,0,0,0,0,0,0.00442,0.00242,0.0027,0.00036,0,0,0.00068,0.00166,0.00218,0.00212,0,0,0,0,0,0,0,0,6e-05,0.00348,0.00284,0.00302,0,0,0,0.00236,0.01498,0.0144,0.00838
"Otu00135",0,0.00262,0,0.0085,0,0.00092,0,0,0,0,0.00322,0.00248,0.00464,0,0,0.00028,0.0012,0.00322,0.00346,0.00264,0.00162,0,0.01142,0.00352,9e-04,0.00166,0,0,0,0.00776,0.00918,0.00718,0,0,0,0,0.00244,0.00296,0.00382
"Otu00136",0.00612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044,0.00066,0.00094,0.00068,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
